city,county
Barnsley,"YORKSHIRE, WEST RIDING"
Bath,SOMERSET
Beverley,"YORKSHIRE, EAST RIDING"
Bilston,STAFFORDSHIRE
Birmingham,WARWICKSHIRE
Blackburn,LANCASHIRE
Blackpool,LANCASHIRE
Bolton,LANCASHIRE
Boston,LINCOLNSHIRE
Bournemouth,HAMPSHIRE
Brighton,SUSSEX
Bristol,GLOUCESTERSHIRE
Bromsgrove,WORCESTERSHIRE
Burnley,LANCASHIRE
Burslem,STAFFORDSHIRE
Bury,LANCASHIRE
Canterbury,KENT
Carlisle,CUMBERLAND
Chatham,KENT
Chelmsford,ESSEX
Cheltenham,GLOUCESTERSHIRE
Chester,CHESHIRE
Chichester,SUSSEX
Colchester,ESSEX
Congleton,CHESHIRE
Coventry,WARWICKSHIRE
Crawley,SUSSEX
Croydon,SURREY
Darlington,DURHAM
Deal,KENT
Derby,DERBYSHIRE
Doncaster,"YORKSHIRE, WEST RIDING"
Dover,KENT
Dudley,WORCESTERSHIRE
Durham,DURHAM
Ellesmere,SHROPSHIRE
Ely,CAMBRIDGESHIRE
Exeter,DEVON
Frome,SOMERSET
Gateshead,DURHAM
Gillingham,KENT
Gillingham,DORSET
Gosport,HAMPSHIRE
Gravesend,KENT
Great Yarmouth,NORFOLK
Grimsby,LINCOLNSHIRE
Guildford,SURREY
Halifax,"YORKSHIRE, WEST RIDING"
Hartlepool,DURHAM
Haslingden,LANCASHIRE
Hereford,HEREFORDSHIRE
Huddersfield,"YORKSHIRE, WEST RIDING"
Ilkeston,DERBYSHIRE
Ipswich,SUFFOLK
Kendal,WESTMORLAND
Kidderminster,WORCESTERSHIRE
Lancaster,LANCASHIRE
Leeds,"YORKSHIRE, WEST RIDING"
Leek,STAFFORDSHIRE
Leicester,LEICESTERSHIRE
Lichfield,STAFFORDSHIRE
Lincoln,LINCOLNSHIRE
Liverpool,LANCASHIRE
London,MIDDLESEX
Loughborough,LEICESTERSHIRE
Luton,BEDFORDSHIRE
Macclesfield,CHESHIRE
Maidstone,KENT
Manchester,LANCASHIRE
Mansfield,NOTTINGHAMSHIRE
Margate,KENT
Middlesbrough,"YORKSHIRE, NORTH RIDING"
Milton Keynes,BUCKINGHAMSHIRE
Nantwich,CHESHIRE
Newbury,BERKSHIRE
Newport,HAMPSHIRE
Newport,SHROPSHIRE
North Shields,NORTHUMBERLAND
Norwich,NORFOLK
Nottingham,NOTTINGHAMSHIRE
Nuneaton,WARWICKSHIRE
Oldham,LANCASHIRE
Oxford,OXFORDSHIRE
Plymouth,DEVON
Poole,DORSET
Portsmouth,HAMPSHIRE
Preston,LANCASHIRE
Preston,"YORKSHIRE, EAST RIDING"
Reading,BERKSHIRE
Rochdale,LANCASHIRE
Rochester,KENT
Rotherham,"YORKSHIRE, WEST RIDING"
Rowley Regis,STAFFORDSHIRE
Rugby,WARWICKSHIRE
Salford,LANCASHIRE
Salisbury,WILTSHIRE
Sandwich,KENT
Scarborough,"YORKSHIRE, NORTH RIDING"
Sedgley,STAFFORDSHIRE
Sheffield,"YORKSHIRE, WEST RIDING"
Shepton Mallet,SOMERSET
Shrewsbury,SHROPSHIRE
Slough,BUCKINGHAMSHIRE
South Shields,DURHAM
Southampton,HAMPSHIRE
Stafford,STAFFORDSHIRE
Stockport,CHESHIRE
Stroud,GLOUCESTERSHIRE
Sunderland,DURHAM
Sutton Coldfield,WARWICKSHIRE
Taunton,SOMERSET
Telford,SHROPSHIRE
Tiverton,DEVON
Tynemouth,NORTHUMBERLAND
Wakefield,"YORKSHIRE, WEST RIDING"
Walsall,STAFFORDSHIRE
Warminster,WILTSHIRE
Warrington,LANCASHIRE
Warwick,WARWICKSHIRE
Wellington,SOMERSET
Wellington,SHROPSHIRE
West Bromwich,STAFFORDSHIRE
West Ham,ESSEX
Whitby,"YORKSHIRE, NORTH RIDING"
Whitehaven,CUMBERLAND
Wigan,LANCASHIRE
Winchester,HAMPSHIRE
Windsor,BERKSHIRE
Wolverhampton,STAFFORDSHIRE
Woolwich,KENT
Worcester,WORCESTERSHIRE
Workington,CUMBERLAND
York,"YORKSHIRE, EAST RIDING"
