county,pop_1600
Bedfordshire,43059
Berkshire,56889
Buckinghamshire,56059
Cambridgeshire,72492
Cheshire,73896
Cornwall,102892
Cumberland,75687
Derbyshire,69791
Devon,258587
Dorset,74961
Durham,76483
Essex,154882
Gloucestershire,101256
Hampshire,104197
Herefordshire,62054
Hertfordshire,58104
Huntingdonshire,27627
Kent,151713
Lancashire,181622
Leicestershire,63140
Lincolnshire,173199
Middlesex,280063
Norfolk,171163
Northamptonshire,91075
Northumberland,72923
Nottinghamshire,78148
Oxfordshire,66909
Rutland,11371
Shropshire,78958
Somerset,168984
Staffordshire,77559
Suffolk,138295
Surrey,84804
Sussex,102003
Warwickshire,65455
Westmorland,42199
Wiltshire,115163
Worcestershire,65614
"Yorkshire, East Riding",66520
"Yorkshire, North Riding",101596
"Yorkshire, West Riding",197498
